title,channel_name,views,likes,comments,category
Python Tutorial,CodeLab,500000,25000,3000,Education
Gaming Montage,GameZone,800000,50000,8000,Gaming
Movie Trailer,CinemaTV,1200000,90000,12000,Entertainment
Music Remix,DJ Sound,950000,70000,5000,Music
AI Course,TechPro,780000,55000,4500,Education
Web Development,DevMaster,620000,42000,3500,Technology
Football Highlights,SportX,1500000,99000,15000,Sports
Cooking Show,KitchenTV,430000,21000,2500,Food
Travel Vlog,TravelerPro,670000,38000,4200,Travel
Car Review,AutoMax,540000,31000,2800,Automobile
